# text start(s) end(s) duration(s) rms f0(Hz) spectral_centroid(Hz) zcr
い 0.330 0.450 0.120 0.07814 108.05 4157.52 0.05518
s 0.450 0.580 0.130 0.05818 0.00 10984.96 0.42179
た 0.580 0.770 0.190 0.10653 172.74 5056.21 0.11664
m 0.770 0.860 0.090 0.07462 180.52 1803.44 0.01410
b 0.860 0.910 0.050 0.07601 174.03 2928.01 0.01855
う 0.910 1.090 0.180 0.19356 179.31 3106.12 0.01611
r 1.090 1.130 0.040 0.08644 154.22 3483.20 0.01660
う 1.130 1.230 0.100 0.14525 135.38 3222.44 0.01959
わ 1.230 1.430 0.200 0.09598 95.06 2021.12 0.03033
せ 1.860 2.070 0.210 0.08694 171.07 7396.27 0.25663
か 2.070 2.250 0.180 0.11727 198.49 3778.89 0.07901
い 2.250 2.360 0.110 0.12245 164.15 2955.06 0.02104
で 2.360 2.470 0.110 0.16850 113.18 3209.71 0.02085
y 2.470 2.610 0.140 0.13925 106.29 2425.71 0.01138
ɨ 2.610 2.730 0.120 0.22138 167.85 2449.13 0.01469
い 2.730 2.880 0.150 0.19745 175.80 3667.54 0.03493
ts 2.880 3.010 0.130 0.02317 149.06 7919.54 0.25940
ɨ̥a 3.010 3.840 0.830 0.02877 97.37 1505.06 0.01326
ʑi 3.840 4.030 0.190 0.12712 171.97 4614.57 0.11503
あ 4.030 4.130 0.100 0.16444 191.04 2838.25 0.03451
た 4.130 4.320 0.190 0.11796 200.90 3521.90 0.06882
い 4.320 4.390 0.070 0.13738 190.46 2980.95 0.02072
rʲi 4.390 4.520 0.130 0.11085 165.04 3203.93 0.01725
k 4.520 4.610 0.090 0.01270 0.00 5776.07 0.16571
と 4.610 4.860 0.250 0.09644 94.56 3124.30 0.05202
y 4.940 5.020 0.080 0.07715 89.82 3577.40 0.02965
お 5.020 5.200 0.180 0.20821 144.02 1871.49 0.02142
ろ 5.200 5.330 0.130 0.12411 202.14 2539.58 0.02934
ぱ 5.330 5.520 0.190 0.07905 199.52 3440.91 0.06351
た 5.520 5.710 0.190 0.14323 203.69 3732.37 0.07017
い 5.710 5.770 0.060 0.16189 202.35 3299.78 0.02181
rʲi 5.770 5.900 0.130 0.16254 172.51 2567.53 0.01725
k 5.900 5.960 0.060 0.00899 0.00 4130.10 0.06226
う 5.960 6.010 0.050 0.16562 131.73 2616.57 0.00859
nyi 6.010 6.150 0.140 0.15804 106.94 1782.70 0.00995
ま 6.150 6.290 0.140 0.10811 88.22 2250.65 0.01502
