slice ID	単語ID	単語	単語スタートタイム(s)	単語エンドタイム(s)	モーラID	モーラ	モーラスタートタイム(s)	モーラエンドタイム(s)	duration(s)	rms	f0(Hz)	spectral_centroid(Hz)	zcr
1	1	血管	0.38	0.76	1	け	0.38	0.52	0.14	0.09456	82.13	3942.43	0.0933
2					2	か	0.52	0.69	0.17	0.12128	92.75	2645.46	0.05645
3					3	ん	0.69	0.76	0.07	0.14911	100.32	2651.29	0.02755
4	2	収縮	0.76	1.12	1	sh	0.76	0.83	0.07	0.04566	0.0	6364.45	0.18645
5					2	ɨ	0.83	0.93	0.1	0.1379	101.98	2255.39	0.02713
6					3	sh	0.93	0.99	0.06	0.04288	1869.38	5889.7	0.16032
7					4	ɨ	0.99	1.03	0.04	0.01898	96.54	6298.5	0.13379
8					5	k	1.03	1.07	0.04	0.00985	956.88	4048.14	0.09082
9					6	う	1.07	1.12	0.05	0.09997	73.98	1894.77	0.0208
10	3	に	1.12	1.23	1	nyi	1.12	1.23	0.11	0.08837	65.41	2166.04	0.03301
11	4	は	1.23	1.5	1	わ	1.23	1.5	0.27	0.09286	65.87	1835.35	0.02863
12	5	血管	1.6	2.03	1	け	1.6	1.75	0.15	0.06933	67.58	3633.0	0.08755
13					2	か	1.75	2.0	0.25	0.09836	96.44	2511.14	0.05755
14					3	ん	2.0	2.03	0.03	0.09654	91.97	2204.5	0.00651
15	6	併活金	2.03	2.61	1	spn	2.03	2.61	0.58	0.08563	90.29	3659.3	0.09991
16	7	細胞内	2.61	3.17	1	さ	2.61	2.78	0.17	0.08076	86.21	5075.28	0.16204
17					2	い	2.78	2.84	0.06	0.11807	85.72	2295.13	0.01921
18					3	b	2.84	2.89	0.05	0.04231	83.48	1443.11	0.00732
19					4	お	2.89	3.0	0.11	0.14982	84.52	1609.76	0.02432
20					5	な	3.0	3.12	0.12	0.10867	65.41	1876.93	0.02668
21					6	い	3.12	3.17	0.05	0.07358	0.0	2213.81	0.02637
22	8	の	3.17	3.27	1	の	3.17	3.27	0.1	0.04978	0.0	1408.35	0.02252
23	9	カルシウム	3.27	3.83	1	か	3.27	3.42	0.15	0.051	0.0	2951.69	0.05014
24					2	r	3.42	3.46	0.04	0.06373	72.59	2164.63	0.02209
25					3	う	3.46	3.52	0.06	0.08995	82.57	2307.43	0.02181
26					4	し	3.52	3.67	0.15	0.05842	92.41	5185.02	0.17593
27					5	う	3.67	3.75	0.08	0.12109	86.24	1872.99	0.02372
28					6	m	3.75	3.78	0.03	0.06756	84.01	1718.61	0.00879
29					7	う	3.78	3.83	0.05	0.09156	83.27	1583.53	0.02539
30	10	ノード	3.83	4.09	1	n	3.83	3.89	0.06	0.08853	83.61	1541.95	0.01066
31					2	お	3.89	3.98	0.09	0.13236	78.8	1746.83	0.02985
32					3	ど	3.98	4.09	0.11	0.06566	65.41	1732.9	0.02168
33	11	が	4.09	4.21	1	が	4.09	4.21	0.12	0.06593	0.0	1722.66	0.02477
34	12	関与	4.21	4.53	1	か	4.21	4.34	0.13	0.04115	68.36	3356.73	0.04419
35					2	ɰ̃	4.34	4.42	0.08	0.08612	70.42	2267.0	0.03376
36					3	よ	4.42	4.53	0.11	0.05935	65.41	2073.58	0.02686
37	13	して	4.53	4.69	1	sh	4.53	4.6	0.07	0.01779	0.0	5825.53	0.16832
38					2	て	4.6	4.69	0.09	0.03479	0.0	4083.56	0.11005
39	14	おり	4.69	4.95	1	お	4.69	4.75	0.06	0.06492	231.17	1832.82	0.02059
40					2	rʲi	4.75	4.95	0.2	0.03275	0.0	2256.6	0.02962
