xmin,xmax,text
0.0,1.1,
1.1,1.61,無添加
1.61,1.73,の
1.73,2.05,シャボン
2.05,2.24,玉
2.24,2.62,石鹸
2.62,2.91,なら
2.91,2.98,
2.98,3.09,もう
3.09,3.89,安心
3.89,5.01,
5.01,5.39,天然
5.39,5.51,の
5.51,5.81,保湿
5.81,6.17,成分
6.17,6.27,が
6.27,6.79,含まれる
6.79,7.12,ため
7.12,7.31,
7.31,7.6,肌
7.6,7.75,に
7.75,8.23,潤い
8.23,8.32,を
8.32,8.73,与え
8.73,9.0,
9.0,9.55,すこやか
9.55,9.67,に
9.67,10.29,保ちます
10.29,11.41,
11.41,11.48,お
11.48,11.7,肌
11.7,11.82,の
11.82,12.02,こと
12.02,12.13,で
12.13,12.21,お
12.21,12.53,悩み
12.53,12.63,の
12.63,12.86,方
12.86,13.05,は
13.05,13.25,
13.25,13.62,是非
13.62,13.95,一度
13.95,14.31,
14.31,14.8,無添加
14.8,15.15,シャボン
15.15,15.34,玉
15.34,15.76,石鹸
15.76,15.79,を
15.79,15.85,お
15.85,16.35,試し
16.35,16.870001,ください
16.870001,18.07,
18.07,18.15,お
18.15,18.51,求め
18.51,18.709999,は
18.709999,18.959999,
18.959999,20.030001,ゼロイチニゼロゼロゼロゴゴキュウゴ
20.030001,22.219999,
22.219999,22.58,まで
22.58,24.006531,
