# 母音
a あ
i い
u う
e え
o お

# k
ka か
ki き
ku く
ke け
ko こ

# s
sa さ
shi し
su す
se せ
so そ

# t
ta た
chi ち
tsu つ
te て
to と

# n
na な
ni に
nu ぬ
ne ね
no の

# h
ha は
hi ひ
fu ふ
he へ
ho ほ

# m
ma ま
mi み
mu む
me め
mo も

# y
ya や
yu ゆ
yo よ

# r
ra ら
ri り
ru る
re れ
ro ろ

# w
wa わ
wo を

# g
ga が
gi ぎ
gu ぐ
ge げ
go ご

# z/j
za ざ
ji じ
zu ず
ze ぜ
zo ぞ

# d
da だ
de で
do ど

# b
ba ば
bi び
bu ぶ
be べ
bo ぼ

# p
pa ぱ
pi ぴ
pu ぷ
pe ぺ
po ぽ

# 拗音
sha しゃ
shu しゅ
sho しょ
cha ちゃ
chu ちゅ
cho ちょ
nya にゃ
nyu にゅ
nyo にょ
hya ひゃ
hyu ひゅ
hyo ひょ
mya みゃ
myu みゅ
myo みょ
rya りゃ
ryu りゅ
ryo りょ
gya ぎゃ
gyu ぎゅ
gyo ぎょ
ja じゃ
ju じゅ
jo じょ
bya びゃ
byu びゅ
byo びょ
pya ぴゃ
pyu ぴゅ
pyo ぴょ

# 特殊
N ん
cl っ
